gender,age
Female,51
Male,89
Female,71
Male,71
Male,58
Female,51
Female,51
Female,61
Female,NA
Male,42
Male,64
Female,55
Female,73
Female,82
Male,55
Female,40
Female,33
Male,82
Male,58
Female,83
Male,41
Female,38
NA,NA
Male,63
Female,NA
Female,73
Female,74
Female,62
Female,51
Female,58
Female,29
Female,36
Male,64
Male,77
Male,54
Female,37
Female,76
Male,68
Male,52
Male,59
Male,42
Female,47
Male,53
Male,58
Female,63
Female,61
Female,64
Female,38
Female,68
None of these,28
Female,61
Female,36
Male,53
Female,31
Female,38
Male,56
Male,31
Male,33
Male,33
Female,23
Male,NA
Male,29
Male,NA
Male,NA
Male,48
Female,46
Male,45
Male,21
Male,19
Male,NA
Female,50
Female,25
NA,NA
Female,54
Male,21
Female,27
Male,NA
Male,38
Female,68
Male,49
Male,80
Female,72
Female,63
Male,34
Male,51
Male,52
Female,84
Male,81
Female,31
Female,41
Female,60
Male,NA
Female,46
Male,41
Male,40
Male,65
Male,28
Male,46
Male,67
Female,38
Female,47
Male,28
Female,81
Male,72
Male,63
Female,NA
Male,36
Female,83
Female,33
Female,34
Male,NA
Male,81
Male,70
Female,57
Male,42
Female,39
Female,23
Female,63
Male,41
Female,NA
Female,63
Male,83
Female,73
Male,NA
Female,73
Female,72
Female,50
Female,NA
Male,45
Female,52
Female,65
Female,NA
Male,45
Male,68
Female,41
Male,NA
Male,33
Female,43
Male,72
Female,89
Female,59
Male,29
Male,64
Female,44
Male,42
Male,41
Female,76
Female,59
Male,65
Male,81
Male,52
Male,34
Female,19
Female,41
Male,59
Female,NA
Female,66
Male,29
Male,68
Male,30
Female,61
NA,NA
Male,72
Male,77
Female,69
Female,41
Male,79
Male,33
Female,54
Female,62
Female,37
Male,64
Male,56
Female,86
Male,24
Male,38
Female,31
Female,55
Male,NA
Female,46
Female,53
Female,56
Female,62
Male,44
Female,NA
Male,42
Female,37
Female,39
Male,69
NA,NA
Female,NA
Male,40
Female,85
Female,39
Female,48
Female,61
Female,42
Female,78
Female,62
Female,39
Female,84
Female,46
Female,42
Male,58
Male,66
Male,86
Female,20
Male,48
Male,65
Female,59
Female,34
Female,37
Male,68
Male,89
Male,54
Male,21
Female,59
Female,NA
Male,62
Male,25
Female,NA
Female,NA
Male,61
Male,40
Female,52
Female,59
Male,32
Male,50
Female,58
Male,58
Female,25
Male,84
Female,65
Female,47
Male,38
Female,54
Male,33
Male,76
Female,51
Male,31
Female,29
Female,64
Female,37
Male,30
Female,34
Male,74
Female,28
Male,32
Male,61
Female,44
Female,63
Female,48
Female,72
Male,43
Female,69
Female,79
Female,39
Female,69
Female,65
Female,64
Female,48
Female,NA
Female,75
Male,27
Male,67
Female,62
Male,35
Male,46
Male,33
Female,NA
Female,50
Female,49
Female,39
Female,33
Male,46
Male,85
Female,62
Female,28
Male,30
Male,23
Female,76
Female,80
Male,73
Female,64
Male,69
Male,NA
Male,49
Male,NA
Male,64
Male,48
Female,28
Female,39
Female,26
Female,49
Female,35
Male,82
Male,52
Female,59
Female,37
Female,29
Male,68
Male,39
Male,41
Male,45
Female,42
Female,40
Male,71
Male,62
Female,59
Female,44
Male,70
Male,37
Male,64
Female,67
Female,43
Male,42
Male,29
Male,75
Male,85
Male,59
Male,53
Female,27
Female,36
Female,30
Male,46
Female,36
Female,84
Female,25
Female,74
Male,51
Male,42
Male,61
Male,39
Female,32
Female,35
Female,57
Female,74
Female,89
Male,75
Male,67
Male,74
Male,79
Male,77
Female,66
Male,24
Male,44
Male,36
Male,56
Female,47
